Symbol,Liquidity
360ONE,1315769163.7265723
3MINDIA,190584750.8
AADHARHFC,113884750.4930786
AARTIIND,172599303.9189026
AAVAS,267620152.95851558
ABB,1160421454.72
ABBOTINDIA,202542967.8
ABCAPITAL,712660002.0941406
ABFRL,152568716.09591705
ABLBL,263678473.4667969
ABREL,314435995.92
ABSLAMC,115614064.88437499
ACC,347810494.7761865
ACE,107517299.85670899
ACMESOLAR,190381129.13277468
ADANIENSOL,1055811503.256123
ADANIENT,3302276752.8263674
ADANIGREEN,2107021419.814629
ADANIPORTS,2368639186.5677047
ADANIPOWER,2419078717.946534
ADVENTHTL,80238661.58667481
AEGISLOG,177856686.80600098
AEGISVOPAK,93022402.04316406
AFCONS,270453995.4
AFFLE,293932229.5693555
AGARWALEYE,33555124.46
AIAENG,312617924.2576172
AIIL,246326349.76
AJANTPHARM,178515457.47734374
AKUMS,78367669.09423096
AKZOINDIA,454086997.9809375
ALKEM,816508694.4000001
ALKYLAMINE,35916331.260000005
ALOKINDS,55258830.5646347
AMBER,1237782476.04
AMBUJACEM,619809187.5646876
ANANDRATHI,293885909.3214843
ANANTRAJ,1092625456.1084766
ANGELONE,2369656330.2641306
APARINDS,595457265.4799999
APLAPOLLO,880282094.0830274
APLLTD,829478978.6678467
APOLLOHOSP,2013855531.6
APOLLOTYRE,418719796.68194085
APTUS,304867843.9112903
ARE&M,0.0
ASAHIINDIA,99260848.99621582
ASHOKLEY,1358577071.5807006
ASIANPAINT,3668241290.8800006
ASTERDM,869807059.946814
ASTRAL,1308677060.3489258
ASTRAZEN,113400230.7
ATGL,279689707.18022466
ATHERENERG,3150869950.327627
ATUL,658866732.96
AUBANK,1991494129.3394284
AUROPHARMA,1182644863.4300976
AWL,3683634404.41
AXISBANK,7449777516.9786625
BAJAJ-AUTO,0.0
BAJAJFINSV,2004768080.0
BAJAJHFL,363823454.9976599
BAJAJHLDNG,829411510.0
BAJFINANCE,5585813626.292335
BALKRISIND,359080809.53019536
BALRAMCHIN,127315545.4759009
BANDHANBNK,695861758.1999725
